metabolite,numerator,denominator,p-value,q-value,FC
biotin,CL2355,N2,0.7182,1.0000,0.84
5-methyltetrahydrofolate (5MeTHF),CL2355,N2,0.0152,0.5062,4.11
biopterin,CL2355,N2,0.2607,0.9786,0.7
dihydrobiopterin,CL2355,N2,0.0315,0.6231,0.47
pterin,CL2355,N2,0.5948,0.9888,0.93
xanthopterin,CL2355,N2,0.9062,1.0000,0.96
protoporphyrin IX,CL2355,N2,0.6525,0.9961,0.72
heme,CL2355,N2,0.5439,0.9888,6.11
biliverdin,CL2355,N2,0.2671,0.9786,1.36
thiamin (vitamin B1),CL2355,N2,0.5367,0.9888,0.61
thiamin monophosphate,CL2355,N2,0.6098,0.9888,1.11
thiamin diphosphate,CL2355,N2,0.5883,0.9888,2.4
carotene diol (1),CL2355,N2,0.2344,0.9673,1.89
pyridoxamine,CL2355,N2,0.6612,0.9963,0.68
pyridoxamine phosphate,CL2355,N2,0.5331,0.9888,1.49
pyridoxal phosphate,CL2355,N2,0.7550,1.0000,0.84
pyridoxal,CL2355,N2,0.2932,0.9786,1.3
pyridoxate,CL2355,N2,0.2178,0.9653,0.44
benzoate,CL2355,N2,0.6306,0.9888,1.27
4-hydroxybenzoate,CL2355,N2,0.0681,0.7311,0.48
catechol,CL2355,N2,0.5632,0.9888,0.84
anthraniloyl-O-glucose,CL2355,N2,0.6179,0.9888,1.88
1-methylxanthine,CL2355,N2,0.4727,0.9888,3.61
2-piperidinone,CL2355,N2,0.5161,0.9888,0.58
3-dehydroshikimate,CL2355,N2,0.5375,0.9888,2.06
"2,3-dihydroxyisovalerate",CL2355,N2,0.3705,0.9888,1.36
dipicolinate,CL2355,N2,1.0000,1.0000,1
2-isopropylmalate,CL2355,N2,0.0779,0.7564,3.08
3-formylindole,CL2355,N2,0.1640,0.9189,0.42
3-hydroxyindolin-2-one,CL2355,N2,0.2288,0.9673,0.46
gluconate,CL2355,N2,0.7242,1.0000,1.5
ciliatine (2-aminoethylphosphonate),CL2355,N2,0.5110,0.9888,3.23
ergothioneine,CL2355,N2,0.9165,1.0000,0.93
erythritol,CL2355,N2,0.4196,0.9888,0.7
quinate,CL2355,N2,0.1503,0.9002,2.45
histidine betaine (hercynine)*,CL2355,N2,0.5643,0.9888,1.35
homostachydrine*,CL2355,N2,0.8637,1.0000,0.9
mannonate*,CL2355,N2,0.5248,0.9888,0.97
stachydrine,CL2355,N2,0.8998,1.0000,0.68
ethyl alpha-glucopyranoside,CL2355,N2,0.1586,0.9189,0.33
methyl glucopyranoside (alpha + beta),CL2355,N2,0.2902,0.9786,0.33
harmane,CL2355,N2,0.6816,1.0000,0.84
2-ketogluconate,CL2355,N2,0.9294,1.0000,0.68
"9,10-methylenehexadecanoate**",CL2355,N2,0.1200,0.8767,2.67
2-dimethylaminoethanol,CL2355,N2,0.4041,0.9888,0.75
3-indoleglyoxylic acid,CL2355,N2,0.9440,1.0000,1.16
ethyl beta-glucopyranoside,CL2355,N2,0.2906,0.9786,0.56
pyochelin,CL2355,N2,0.6065,0.9888,1.98
lactobacillic acid,CL2355,N2,0.1295,0.8818,2.62
7-chlorotryptophan,CL2355,N2,0.7872,1.0000,1.29
pyrrolnitrin,CL2355,N2,0.5720,0.9888,2.76
5-fluorouracil,CL2355,N2,0.3658,0.9888,0.47
salicylate,CL2355,N2,0.0742,0.7487,6.44
S-carboxymethyl-cysteine,CL2355,N2,0.6532,0.9961,0.82
sulfate*,CL2355,N2,0.5486,0.9888,1.37
O-sulfo-tyrosine,CL2355,N2,0.0559,0.6696,0.54
ectoine,CL2355,N2,0.7005,1.0000,45.65
glycerol 2-phosphate,CL2355,N2,0.0106,0.5062,0.4
"2,4-di-tert-butylphenol",CL2355,N2,0.0472,0.6608,2.04
thioproline,CL2355,N2,0.2966,0.9786,1.33
glutamine_degradant*,CL2355,N2,0.4357,0.9888,1.31
X-10445,CL2355,N2,0.1957,0.9311,0.03
X-11580,CL2355,N2,0.4190,0.9888,1.14
X-11612,CL2355,N2,0.0810,0.7610,0.39
X-11615,CL2355,N2,0.7683,1.0000,0.21
X-11787,CL2355,N2,0.8066,1.0000,0.79
X-11795,CL2355,N2,0.1744,0.9189,0.21
X-12026,CL2355,N2,0.6134,0.9888,1.23
X-12100,CL2355,N2,0.1415,0.8823,0.74
X-12101,CL2355,N2,0.3492,0.9888,2.02
X-12411,CL2355,N2,0.9339,1.0000,1.03
X-12462,CL2355,N2,0.1753,0.9189,0.44
X-13507,CL2355,N2,0.2903,0.9786,1.86
X-14056,CL2355,N2,0.7749,1.0000,1.06
X-14254,CL2355,N2,0.7002,1.0000,0.74
X-15161,CL2355,N2,0.3845,0.9888,1.3
X-15245,CL2355,N2,0.3142,0.9786,0.11
X-15461,CL2355,N2,0.6298,0.9888,0.81
X-15520,CL2355,N2,0.1256,0.8802,1.85
X-15853,CL2355,N2,0.5809,0.9888,0.71
X-16938,CL2355,N2,0.2131,0.9626,1.74
X-17009,CL2355,N2,0.0034,0.5062,0.22
X-17335,CL2355,N2,0.0289,0.6231,0.49
X-17761,CL2355,N2,0.0459,0.6608,0.41
X-17877,CL2355,N2,0.7087,1.0000,0.7
X-18278,CL2355,N2,0.8162,1.0000,0.63
X-20100,CL2355,N2,0.7515,1.0000,0.8
X-20172,CL2355,N2,0.9314,1.0000,0.87
X-20716,CL2355,N2,0.6845,1.0000,0.95
X-20747,CL2355,N2,0.6716,0.9991,0.96
X-21353,CL2355,N2,0.2730,0.9786,1.55
X-21607,CL2355,N2,0.4824,0.9888,1.63
X-21796,CL2355,N2,0.7230,1.0000,1.14
X-22062,CL2355,N2,0.7920,1.0000,0.71
X-22776,CL2355,N2,0.3256,0.9888,1.91
X-23109,CL2355,N2,0.2531,0.9786,1.66
X-23587,CL2355,N2,0.8091,1.0000,0.89
X-23593,CL2355,N2,0.5445,0.9888,0.35
X-23639,CL2355,N2,0.5982,0.9888,1.22
X-23648,CL2355,N2,0.4717,0.9888,0.4
X-23654,CL2355,N2,0.8423,1.0000,0.87
X-23662,CL2355,N2,0.6455,0.9942,1.43
X-23672,CL2355,N2,0.0002,0.1354,0.23
X-23739,CL2355,N2,0.5765,0.9888,0.45
X-24243,CL2355,N2,0.4932,0.9888,0.41
X-24425,CL2355,N2,0.6498,0.9961,1.14
X-24456,CL2355,N2,0.5690,0.9888,0.82
X-24608,CL2355,N2,0.7106,1.0000,1.08
X-24697,CL2355,N2,0.4250,0.9888,0.97
X-24728,CL2355,N2,0.9035,1.0000,0.84
X-24729,CL2355,N2,0.7874,1.0000,0.93
X-24807,CL2355,N2,0.9480,1.0000,0.66
X-25004,CL2355,N2,0.1391,0.8823,0.52
X-25009,CL2355,N2,0.6287,0.9888,1.21
X-25026,CL2355,N2,0.8280,1.0000,0.99
X-25080,CL2355,N2,0.8278,1.0000,1.1
X-25102,CL2355,N2,0.1993,0.9380,0.64
X-25109,CL2355,N2,0.5763,0.9888,0.44
X-25111,CL2355,N2,0.7874,1.0000,0.63
X-25180,CL2355,N2,0.9107,1.0000,1.19
X-25551,CL2355,N2,0.6909,1.0000,1.45
X-25563,CL2355,N2,0.9714,1.0000,1.12
X-25594,CL2355,N2,0.6277,0.9888,1.13
X-25837,CL2355,N2,0.9911,1.0000,0.52
X-25936,CL2355,N2,0.3344,0.9888,0.26
X-25940,CL2355,N2,0.7043,1.0000,0.81
X-25948,CL2355,N2,0.6510,0.9961,1.15
X-25955,CL2355,N2,0.8480,1.0000,0.85
X-25984,CL2355,N2,0.1808,0.9211,3.43
X-26008,CL2355,N2,0.6818,1.0000,3.37
X-26094,CL2355,N2,0.1835,0.9211,0.58
X-26095,CL2355,N2,0.5931,0.9888,0.19
X-26127,CL2355,N2,0.5663,0.9888,1.23
glycine,GL405,N2,0.9016,0.4488,1.02
N-acetylglycine,GL405,N2,0.3393,0.2597,0.62
sarcosine,GL405,N2,0.2796,0.2260,0.28
dimethylglycine,GL405,N2,0.5775,0.3526,0.61
betaine,GL405,N2,0.8611,0.4351,1.05
betaine aldehyde,GL405,N2,0.8201,0.4271,0.64
serine,GL405,N2,0.0094,0.0334,2.57
N-acetylserine,GL405,N2,0.1507,0.1597,0.45
3-phosphoserine,GL405,N2,0.0067,0.0260,0.17
threonine,GL405,N2,0.2839,0.2283,1.4
N-acetylthreonine,GL405,N2,0.1814,0.1759,0.48
O-acetylhomoserine,GL405,N2,0.0657,0.0951,1.96
homoserine lactone,GL405,N2,0.0466,0.0782,3.24
alanine,GL405,N2,0.0930,0.1176,1.42
N-acetylalanine,GL405,N2,0.8349,0.4307,1.01
aspartate,GL405,N2,0.4361,0.3008,1.79
N-acetylaspartate (NAA),GL405,N2,0.8214,0.4271,0.89
asparagine,GL405,N2,0.0614,0.0918,2.58
N-acetylasparagine,GL405,N2,0.4901,0.3213,0.69
glutamate,GL405,N2,0.5918,0.3575,0.84
glutamine,GL405,N2,0.2513,0.2142,1.33
alpha-ketoglutaramate*,GL405,N2,0.6868,0.3905,0.52
N-acetylglutamate,GL405,N2,0.4129,0.2911,0.49
N-acetylglutamine,GL405,N2,0.2287,0.2086,0.47
4-hydroxyglutamate,GL405,N2,0.6862,0.3905,0.44
"glutamate, gamma-methyl ester",GL405,N2,0.0028,0.0163,0.09
S-1-pyrroline-5-carboxylate,GL405,N2,0.0045,0.0214,6.01
propionylglutamine,GL405,N2,0.0142,0.0426,0.14
histidine,GL405,N2,0.1368,0.1501,1.62
1-methylhistidine,GL405,N2,0.0010,0.0082,0.26
3-methylhistidine,GL405,N2,0.0009,0.0082,0.26
N-acetylhistidine,GL405,N2,0.0841,0.1107,2.12
N-acetyl-3-methylhistidine*,GL405,N2,0.5329,0.3378,0.62
N-acetyl-1-methylhistidine*,GL405,N2,0.0497,0.0819,0.49
trans-urocanate,GL405,N2,0.3564,0.2679,0.48
cis-urocanate,GL405,N2,0.2605,0.2187,0.47
imidazole propionate,GL405,N2,0.0544,0.0867,0.26
formiminoglutamate,GL405,N2,0.1165,0.1365,0.44
imidazole lactate,GL405,N2,0.0567,0.0872,0.51
1-methyl-5-imidazoleacetate,GL405,N2,0.8941,0.4465,0.89
1-ribosyl-imidazoleacetate*,GL405,N2,1.0000,0.4752,1
4-imidazoleacetate,GL405,N2,0.4932,0.3222,0.86
N-acetylhistamine,GL405,N2,0.3905,0.2808,1.3
histidine methyl ester,GL405,N2,0.1343,0.1501,0.5
lysine,GL405,N2,0.0187,0.0474,5.25
N2-acetyllysine,GL405,N2,0.6509,0.3796,1.15
N6-acetyllysine,GL405,N2,0.4646,0.3109,2.02
"N2,N6-diacetyllysine",GL405,N2,0.8376,0.4307,1.05
N6-methyllysine,GL405,N2,0.7846,0.4181,0.9
"N6,N6,N6-trimethyllysine",GL405,N2,0.6904,0.3905,1.13
"hydroxy-N6,N6,N6-trimethyllysine*",GL405,N2,0.2354,0.2105,1.45
5-hydroxylysine,GL405,N2,0.4429,0.3012,1.34
fructosyllysine,GL405,N2,0.0018,0.0126,5.34
saccharopine,GL405,N2,0.0667,0.0951,1.9
2-aminoadipate,GL405,N2,0.0057,0.0240,11.48
2-oxoadipate,GL405,N2,0.0660,0.0951,2.59
pipecolate,GL405,N2,0.0042,0.0211,0.07
6-oxopiperidine-2-carboxylate,GL405,N2,0.1444,0.1548,1.83
cadaverine,GL405,N2,0.1790,0.1748,1.95
N-acetyl-cadaverine,GL405,N2,0.0306,0.0620,6.76
5-aminovalerate,GL405,N2,0.7051,0.3935,0.36
"N,N,N-trimethyl-5-aminovalerate",GL405,N2,0.2947,0.2340,0.28
phenylalanine,GL405,N2,0.0593,0.0897,2.07
N-acetylphenylalanine,GL405,N2,0.2737,0.2242,0.26
phenylpyruvate,GL405,N2,0.8585,0.4351,0.27
phenyllactate (PLA),GL405,N2,0.9772,0.4737,0.97
phenethylamine,GL405,N2,0.1451,0.1551,0.43
phenylacetate,GL405,N2,0.0140,0.0425,0.16
2-hydroxyphenylacetate,GL405,N2,0.3531,0.2665,0.45
4-hydroxyphenylacetate,GL405,N2,0.0626,0.0928,0.27
tyrosine,GL405,N2,0.0016,0.0116,3.3
N-acetyltyrosine,GL405,N2,0.1061,0.1275,0.28
tyramine,GL405,N2,0.3404,0.2597,1.5
4-hydroxyphenylpyruvate,GL405,N2,0.8645,0.4359,0.76
homogentisate,GL405,N2,0.8104,0.4257,0.47
3-(4-hydroxyphenyl)lactate,GL405,N2,0.1153,0.1360,1.86
dopamine,GL405,N2,0.0697,0.0977,3.17
o-tyrosine,GL405,N2,0.0242,0.0540,2.94
O-methyltyrosine,GL405,N2,0.4405,0.3008,1.08
gentisate,GL405,N2,0.3895,0.2808,1.89
N-formylphenylalanine,GL405,N2,0.4401,0.3008,0.65
tryptophan,GL405,N2,0.0127,0.0393,2.34
N-acetyltryptophan,GL405,N2,0.2393,0.2106,0.33
C-glycosyltryptophan,GL405,N2,0.5210,0.3326,1.12
oxindolylalanine,GL405,N2,0.0559,0.0872,2.34
N-formylkynurenine,GL405,N2,0.6522,0.3798,0.78
kynurenine,GL405,N2,0.0198,0.0495,5.39
kynurenate,GL405,N2,0.2654,0.2196,0.28
N-formylanthranilic acid,GL405,N2,0.9976,0.4752,0.75
anthranilate,GL405,N2,0.0172,0.0461,2.77
picolinate,GL405,N2,0.9661,0.4708,0.99
N-acetylserotonin,GL405,N2,0.0448,0.0774,0.15
indolelactate,GL405,N2,0.4014,0.2866,0.61
indoleacetate,GL405,N2,0.4544,0.3073,0.21
tryptophol,GL405,N2,0.0020,0.0129,0.04
indole-3-carboxylate,GL405,N2,0.0522,0.0838,0.4
leucine,GL405,N2,0.0046,0.0214,3.67
N-acetylleucine,GL405,N2,0.8475,0.4339,1.03
4-methyl-2-oxopentanoate,GL405,N2,0.0319,0.0638,3.74
alpha-hydroxyisocaproate,GL405,N2,0.0004,0.0061,9.77
isovaleryl/2-methylbutyryl CoA,GL405,N2,0.1341,0.1501,0.13
isovalerate (i5:0),GL405,N2,0.2069,0.1941,1.82
isovalerylglycine,GL405,N2,0.9025,0.4488,0.82
isovalerylcarnitine (C5),GL405,N2,0.5417,0.3401,0.85
beta-hydroxyisovalerate,GL405,N2,0.5833,0.3538,0.76
beta-hydroxyisovaleroylcarnitine,GL405,N2,0.0061,0.0251,2.57
beta-hydroxyisovalerylglycine,GL405,N2,0.4917,0.3218,0.6
3-methylglutaconate,GL405,N2,0.3901,0.2808,0.55
isoleucine,GL405,N2,0.0070,0.0264,3.36
N-acetylisoleucine,GL405,N2,0.5793,0.3526,1.19
3-methyl-2-oxovalerate,GL405,N2,0.0149,0.0442,4.16
2-hydroxy-3-methylvalerate,GL405,N2,0.3889,0.2808,1.42
2-methylbutyrylcarnitine (C5),GL405,N2,0.2493,0.2142,1.67
tiglylcarnitine (C5:1-DC),GL405,N2,0.0266,0.0563,2.49
ethylmalonate,GL405,N2,0.0350,0.0655,2.7
methylsuccinate,GL405,N2,0.5480,0.3421,0.65
valine,GL405,N2,0.0048,0.0215,3.51
N-acetylvaline,GL405,N2,0.9356,0.4615,0.86
3-methyl-2-oxobutyrate,GL405,N2,0.0725,0.1005,2.1
alpha-hydroxyisovalerate,GL405,N2,0.0632,0.0932,2.6
isobutyrylcarnitine (C4),GL405,N2,0.6990,0.3926,0.9
3-hydroxyisobutyrate,GL405,N2,0.0024,0.0148,5.38
methionine,GL405,N2,0.0113,0.0359,3.19
N-acetylmethionine,GL405,N2,0.6407,0.3772,1.24
N-formylmethionine,GL405,N2,0.4687,0.3123,1.45
methionine sulfone,GL405,N2,0.4058,0.2884,1.63
methionine sulfoxide,GL405,N2,0.5185,0.3326,0.53
N-acetylmethionine sulfoxide,GL405,N2,0.1053,0.1271,0.45
S-adenosylmethionine (SAM),GL405,N2,0.9213,0.4563,0.87
S-adenosylhomocysteine (SAH),GL405,N2,0.7691,0.4141,1.03
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",GL405,N2,0.0217,0.0519,0.43
2-hydroxy-4-(methylthio)butanoic acid,GL405,N2,0.0007,0.0082,11.12
cystathionine,GL405,N2,0.9384,0.4623,0.85
cysteine,GL405,N2,0.0124,0.0387,3.57
N-acetylcysteine,GL405,N2,0.2904,0.2322,1.9
S-methylcysteine,GL405,N2,0.2563,0.2168,0.42
S-methylcysteine sulfoxide,GL405,N2,0.0878,0.1135,0.09
cysteine s-sulfate,GL405,N2,0.4653,0.3109,0.23
cystine,GL405,N2,0.3405,0.2597,0.07
lanthionine,GL405,N2,0.8194,0.4271,1.03
hypotaurine,GL405,N2,0.0576,0.0878,3.1
taurine,GL405,N2,0.2316,0.2095,2.02
N-acetyltaurine,GL405,N2,0.0013,0.0105,0.14
3-sulfo-alanine,GL405,N2,0.5298,0.3371,0.46
cyano-alanine,GL405,N2,0.0159,0.0454,6.72
arginine,GL405,N2,0.0548,0.0867,1.8
argininosuccinate,GL405,N2,0.0207,0.0509,0.19
urea,GL405,N2,0.6717,0.3868,0.72
ornithine,GL405,N2,0.0163,0.0457,4.78
3-amino-2-piperidone,GL405,N2,0.7397,0.4036,0.8
2-oxoarginine*,GL405,N2,0.9934,0.4752,0.63
citrulline,GL405,N2,0.1990,0.1891,0.23
homoarginine,GL405,N2,0.2811,0.2267,2.23
homocitrulline,GL405,N2,0.8160,0.4271,0.61
proline,GL405,N2,0.8367,0.4307,0.93
dimethylarginine (SDMA + ADMA),GL405,N2,0.2144,0.1989,0.74
N-acetylarginine,GL405,N2,0.6344,0.3754,0.83
N-delta-acetylornithine,GL405,N2,0.8752,0.4382,0.96
trans-4-hydroxyproline,GL405,N2,0.9262,0.4581,0.62
pro-hydroxy-pro,GL405,N2,0.8443,0.4329,0.67
N-methylproline,GL405,N2,0.1371,0.1501,0.56
N-monomethylarginine,GL405,N2,0.1721,0.1700,1.48
argininate*,GL405,N2,0.0229,0.0531,0.21
creatine,GL405,N2,0.2504,0.2142,0.48
agmatine,GL405,N2,0.0004,0.0059,11.22
acetylagmatine,GL405,N2,0.0008,0.0082,51.86
putrescine,GL405,N2,0.5477,0.3421,1.46
N-acetylputrescine,GL405,N2,0.2098,0.1960,2.54
N-carbamoylputrescine,GL405,N2,0.9542,0.4681,1.8
isoputreanine,GL405,N2,0.9946,0.4752,0.88
N-acetyl-isoputreanine,GL405,N2,0.7586,0.4095,0.48
spermidine,GL405,N2,0.0002,0.0049,5.7
N('1)-acetylspermidine,GL405,N2,0.0000,0.0013,10.05
diacetylspermidine*,GL405,N2,0.0019,0.0126,9.44
spermine,GL405,N2,0.0006,0.0074,22.85
N(1)-acetylspermine,GL405,N2,0.0000,0.0011,23.17
"N1,N12-diacetylspermine",GL405,N2,0.0033,0.0185,23.99
S-adenosylmethioninamine,GL405,N2,0.0000,0.0004,160.37
5-methylthioadenosine (MTA),GL405,N2,0.0329,0.0640,3.9
4-acetamidobutanoate,GL405,N2,0.1596,0.1648,1.94
4-guanidinobutanoate,GL405,N2,0.6465,0.3783,1.51
"glutathione, reduced (GSH)",GL405,N2,0.0793,0.1078,2.36
"glutathione, oxidized (GSSG)",GL405,N2,0.0229,0.0531,3.96
cysteine-glutathione disulfide,GL405,N2,0.5607,0.3482,1.24
cysteinylglycine,GL405,N2,0.0253,0.0551,2.25
cysteinylglycine disulfide*,GL405,N2,0.2071,0.1941,0.21
5-oxoproline,GL405,N2,0.0093,0.0334,4.91
2-hydroxybutyrate/2-hydroxyisobutyrate,GL405,N2,0.0001,0.0034,16.05
ophthalmate,GL405,N2,0.0269,0.0563,7.71
"S-(1,2-dicarboxyethyl)glutathione",GL405,N2,0.0002,0.0042,7.06
CoA-glutathione*,GL405,N2,0.0361,0.0665,4.59
gamma-glutamylalanine,GL405,N2,0.2312,0.2095,0.36
gamma-glutamylcysteine,GL405,N2,0.5729,0.3523,1.62
gamma-glutamylglutamate,GL405,N2,0.4716,0.3131,0.62
gamma-glutamylglutamine,GL405,N2,0.6209,0.3692,1.11
gamma-glutamylglycine,GL405,N2,0.1532,0.1614,0.39
gamma-glutamylhistidine,GL405,N2,0.0957,0.1187,0.18
gamma-glutamylisoleucine*,GL405,N2,0.8320,0.4307,0.75
gamma-glutamylleucine,GL405,N2,0.5795,0.3526,1.43
gamma-glutamyl-alpha-lysine,GL405,N2,0.0298,0.0613,8.19
gamma-glutamylmethionine,GL405,N2,0.9610,0.4696,0.33
gamma-glutamylphenylalanine,GL405,N2,0.7093,0.3935,1.56
gamma-glutamylthreonine,GL405,N2,0.1692,0.1694,2.2
gamma-glutamyltyrosine,GL405,N2,0.0215,0.0519,3.17
gamma-glutamylvaline,GL405,N2,0.5505,0.3430,2.24
gamma-glutamylserine,GL405,N2,0.1371,0.1501,2.46
gamma-glutamylcitrulline*,GL405,N2,0.4279,0.2978,0.21
leucylhydroxyproline*,GL405,N2,0.6367,0.3762,0.6
alanylleucine,GL405,N2,0.2498,0.2142,2.96
cyclo(gly-pro),GL405,N2,0.1639,0.1675,0.69
glycylisoleucine,GL405,N2,0.1146,0.1356,4.27
glycylleucine,GL405,N2,0.3213,0.2503,2.26
glycylvaline,GL405,N2,0.1227,0.1416,3.5
histidylalanine,GL405,N2,0.0170,0.0461,7.54
isoleucylglycine,GL405,N2,0.0035,0.0192,8.14
leucylalanine,GL405,N2,0.1680,0.1694,2.56
leucylglycine,GL405,N2,0.1022,0.1250,3.07
lysylleucine,GL405,N2,0.0043,0.0211,18
phenylalanylalanine,GL405,N2,0.0162,0.0457,6.61
phenylalanylglycine,GL405,N2,0.0114,0.0359,5.26
phenylalanylhydroxyproline*,GL405,N2,0.0504,0.0819,4
prolylglycine,GL405,N2,0.0635,0.0933,2.8
threonylphenylalanine,GL405,N2,0.0347,0.0653,6.49
tyrosylglycine,GL405,N2,0.0016,0.0116,8.05
valylglutamine,GL405,N2,0.0137,0.0419,7.47
valylglycine,GL405,N2,0.0007,0.0082,8.28
valylleucine,GL405,N2,0.0568,0.0872,8.46
leucylglutamine*,GL405,N2,0.1200,0.1398,3.99
alanyl-glutamyl-meso-diaminopimelate,GL405,N2,0.0168,0.0461,0.02
phenylacetylcarnitine,GL405,N2,0.2139,0.1989,0.17
phenylacetylglutamine,GL405,N2,0.1682,0.1694,2.14
"N,N-dimethyl-pro-pro",GL405,N2,0.0000,0.0011,0.44
"1,5-anhydroglucitol (1,5-AG)",GL405,N2,0.8310,0.4307,1.1
glucose,GL405,N2,0.0154,0.0449,5.09
glucose 6-phosphate,GL405,N2,0.2480,0.2142,1.32
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",GL405,N2,0.1600,0.1648,1.64
dihydroxyacetone phosphate (DHAP),GL405,N2,0.0563,0.0872,2.17
2-phosphoglycerate,GL405,N2,0.6117,0.3667,1.81
3-phosphoglycerate,GL405,N2,0.1414,0.1525,2.65
phosphoenolpyruvate (PEP),GL405,N2,0.1171,0.1368,2.76
pyruvate,GL405,N2,0.3888,0.2808,0.11
lactate,GL405,N2,0.1042,0.1262,1.52
glycerate,GL405,N2,0.3828,0.2785,1.44
6-phosphogluconate,GL405,N2,0.0001,0.0022,10.91
ribose 1-phosphate,GL405,N2,0.6712,0.3868,0.77
sedoheptulose-7-phosphate,GL405,N2,0.0397,0.0701,2.08
ribose,GL405,N2,0.8700,0.4368,0.39
ribitol,GL405,N2,0.2501,0.2142,0.51
ribonate,GL405,N2,0.8206,0.4271,0.28
arabitol/xylitol,GL405,N2,0.7042,0.3935,1.03
arabonate/xylonate,GL405,N2,0.4166,0.2932,0.34
sedoheptulose,GL405,N2,0.5923,0.3575,0.73
lyxonate,GL405,N2,0.0151,0.0443,0.02
maltotetraose,GL405,N2,0.3002,0.2377,1.65
maltotriose,GL405,N2,0.0000,0.0011,16.67
maltose,GL405,N2,0.0099,0.0349,5.64
lactobionate,GL405,N2,0.2054,0.1935,0.12
trehalose,GL405,N2,0.2305,0.2095,3.32
trehalose 6-phosphate,GL405,N2,0.3796,0.2783,2.16
mannitol/sorbitol,GL405,N2,0.4806,0.3157,1.31
mannose,GL405,N2,0.0009,0.0082,3.37
galactitol (dulcitol),GL405,N2,0.2655,0.2196,1.47
UDP-glucose,GL405,N2,0.8103,0.4257,0.38
UDP-galactose,GL405,N2,0.7001,0.3926,0.42
UDP-glucuronate,GL405,N2,0.0610,0.0914,0.02
UDP-N-acetylglucosamine/galactosamine,GL405,N2,0.0171,0.0461,3.16
deoxythymidine diphosphate-rhamnose,GL405,N2,0.0857,0.1122,0.31
glucosamine-6-phosphate,GL405,N2,0.0859,0.1122,3.72
glucuronate,GL405,N2,0.0450,0.0774,2.43
diacetylchitobiose,GL405,N2,0.5804,0.3526,0.44
N-acetylglucosamine 6-phosphate,GL405,N2,0.5170,0.3326,0.71
N-acetyl-glucosamine 1-phosphate,GL405,N2,0.0723,0.1005,0.13
N-acetylmuramate,GL405,N2,0.0172,0.0461,0.03
N-acetylglucosaminylasparagine,GL405,N2,0.0075,0.0275,2.64
erythronate*,GL405,N2,0.6149,0.3669,0.79
N-acetylglucosamine/N-acetylgalactosamine,GL405,N2,0.5372,0.3382,1.18
N6-carboxymethyllysine,GL405,N2,0.3486,0.2637,0.71
citrate,GL405,N2,0.3371,0.2597,0.41
aconitate [cis or trans],GL405,N2,0.0353,0.0657,0.06
isocitrate,GL405,N2,0.1494,0.1592,0.18
alpha-ketoglutarate,GL405,N2,0.5313,0.3374,0.38
succinylcarnitine (C4-DC),GL405,N2,0.7075,0.3935,1.13
succinate,GL405,N2,0.7761,0.4154,0.83
fumarate,GL405,N2,0.7558,0.4088,0.69
malate,GL405,N2,0.1320,0.1485,1.99
2-methylcitrate/homocitrate,GL405,N2,0.2788,0.2260,0.5
phosphate,GL405,N2,0.0820,0.1095,2.22
acetyl CoA,GL405,N2,0.0068,0.0260,0.18
butyrate/isobutyrate (4:0),GL405,N2,0.0555,0.0872,2.77
caprate (10:0),GL405,N2,0.6793,0.3894,1.3
cis-4-decenoate (10:1n6)*,GL405,N2,0.3584,0.2688,0.61
10-undecenoate (11:1n1),GL405,N2,0.5191,0.3326,0.74
laurate (12:0),GL405,N2,0.2765,0.2260,1.61
5-dodecenoate (12:1n7),GL405,N2,0.5206,0.3326,0.68
myristate (14:0),GL405,N2,0.0486,0.0809,2.41
stearate (18:0),GL405,N2,0.0361,0.0665,2.7
nonadecanoate (19:0),GL405,N2,0.0862,0.1122,3.7
arachidate (20:0),GL405,N2,0.0927,0.1176,2.6
behenate (22:0)*,GL405,N2,0.7740,0.4154,1.66
myristoleate (14:1n5),GL405,N2,0.8559,0.4351,1
palmitoleate (16:1n7),GL405,N2,0.0383,0.0691,2.68
oleate/vaccenate (18:1),GL405,N2,0.0203,0.0504,3.5
eicosenoate (20:1),GL405,N2,0.2338,0.2105,1.96
erucate (22:1n9),GL405,N2,0.7170,0.3953,1.06
tetradecadienoate (14:2)*,GL405,N2,0.5759,0.3526,0.54
hexadecatrienoate (16:3n3),GL405,N2,0.0344,0.0649,4.94
heptadecatrienoate (17:3)*,GL405,N2,0.0004,0.0061,10.39
stearidonate (18:4n3),GL405,N2,0.0001,0.0035,7.37
eicosapentaenoate (EPA; 20:5n3),GL405,N2,0.0071,0.0265,4.62
docosapentaenoate (n3 DPA; 22:5n3),GL405,N2,0.0068,0.0260,5.22
docosatrienoate (22:3n3),GL405,N2,0.0549,0.0867,3.37
hexadecadienoate (16:2n6),GL405,N2,0.0040,0.0211,4.84
linoleate (18:2n6),GL405,N2,0.0159,0.0454,3.81
linolenate [alpha or gamma; (18:3n3 or 6)],GL405,N2,0.0002,0.0042,9.89
dihomo-linoleate (20:2n6),GL405,N2,0.4658,0.3109,1.25
dihomo-linolenate (20:3n3 or n6),GL405,N2,0.0059,0.0245,4.06
arachidonate (20:4n6),GL405,N2,0.0101,0.0349,2.08
docosadienoate (22:2n6),GL405,N2,0.9319,0.4603,0.91
